date,tenor,side,rate
1992-05-29,3M,PRIBOR,10.75
1992-05-29,6M,PRIBID,11.0
1992-05-29,6M,PRIBOR,12.56
1992-06-01,1D,PRIBID,3.5
1992-06-01,1D,PRIBOR,5.0
1992-06-01,1M,PRIBID,7.81
1992-06-01,1M,PRIBOR,8.81
1992-06-01,1W,PRIBID,5.31
1992-06-01,1W,PRIBOR,6.38
1992-06-01,2W,PRIBID,6.31
1992-06-01,2W,PRIBOR,7.0
1992-06-01,3M,PRIBID,9.5
1992-06-01,3M,PRIBOR,10.94
1992-06-01,6M,PRIBID,10.81
1992-06-01,6M,PRIBOR,12.19
1992-06-01,9M,PRIBID,11.5
1992-06-01,9M,PRIBOR,14.0
1992-06-02,1D,PRIBID,4.19
1992-06-02,1D,PRIBOR,5.63
1992-06-02,1M,PRIBID,7.69
1992-06-02,1M,PRIBOR,8.81
1992-06-02,1W,PRIBID,5.31
1992-06-02,1W,PRIBOR,6.75
1992-06-02,2W,PRIBID,6.19
1992-06-02,2W,PRIBOR,7.13
1992-06-02,3M,PRIBID,9.19
1992-06-02,3M,PRIBOR,10.69
1992-06-02,6M,PRIBID,10.56
1992-06-02,6M,PRIBOR,11.94
1992-06-02,9M,PRIBID,11.63
1992-06-02,9M,PRIBOR,14.0
1992-06-03,1D,PRIBID,4.06
1992-06-03,1D,PRIBOR,5.44
1992-06-03,1M,PRIBID,7.56
1992-06-03,1M,PRIBOR,8.63
1992-06-03,1W,PRIBID,4.94
1992-06-03,1W,PRIBOR,6.56
1992-06-03,2W,PRIBID,6.13
1992-06-03,2W,PRIBOR,7.31
1992-06-03,3M,PRIBID,9.25
1992-06-03,3M,PRIBOR,10.81
1992-06-03,6M,PRIBID,10.44
1992-06-03,6M,PRIBOR,11.94
1992-06-03,9M,PRIBID,11.19
1992-06-03,9M,PRIBOR,13.25
1992-06-04,1D,PRIBID,3.94
1992-06-04,1D,PRIBOR,5.56
1992-06-04,1M,PRIBID,7.25
1992-06-04,1M,PRIBOR,8.44
1992-06-04,1W,PRIBID,5.0
1992-06-04,1W,PRIBOR,6.25
1992-06-04,2W,PRIBID,5.69
1992-06-04,2W,PRIBOR,6.88
1992-06-04,3M,PRIBID,9.38
1992-06-04,3M,PRIBOR,10.88
1992-06-04,6M,PRIBID,10.5
1992-06-04,6M,PRIBOR,12.19
1992-06-04,9M,PRIBID,11.19
1992-06-04,9M,PRIBOR,13.25
1992-06-05,1D,PRIBID,3.56
1992-06-05,1D,PRIBOR,5.13
1992-06-05,1M,PRIBID,7.5
1992-06-05,1M,PRIBOR,8.63
1992-06-05,1W,PRIBID,5.13
1992-06-05,1W,PRIBOR,6.56
1992-06-05,2W,PRIBID,5.81
1992-06-05,2W,PRIBOR,7.13
1992-06-05,3M,PRIBID,8.94
1992-06-05,3M,PRIBOR,10.69
1992-06-05,6M,PRIBID,10.38
1992-06-05,6M,PRIBOR,12.0
1992-06-08,1D,PRIBID,3.88
1992-06-08,1D,PRIBOR,5.44
1992-06-08,1M,PRIBID,7.25
1992-06-08,1M,PRIBOR,8.5
1992-06-08,1W,PRIBID,5.0
1992-06-08,1W,PRIBOR,6.5
1992-06-08,2W,PRIBID,5.94
1992-06-08,2W,PRIBOR,7.63
1992-06-08,3M,PRIBID,8.75
1992-06-08,3M,PRIBOR,10.31
1992-06-08,6M,PRIBID,10.0
1992-06-08,6M,PRIBOR,11.63
1992-06-08,9M,PRIBID,11.5
1992-06-08,9M,PRIBOR,13.5
1992-06-09,1D,PRIBID,3.06
1992-06-09,1D,PRIBOR,4.69
1992-06-09,1M,PRIBID,7.19
1992-06-09,1M,PRIBOR,8.44
1992-06-09,1W,PRIBID,4.94
1992-06-09,1W,PRIBOR,6.31
1992-06-09,2W,PRIBID,5.75
1992-06-09,2W,PRIBOR,7.31
1992-06-09,3M,PRIBID,8.94
1992-06-09,3M,PRIBOR,10.25
1992-06-09,6M,PRIBID,10.25
1992-06-09,6M,PRIBOR,11.75
1992-06-09,9M,PRIBID,11.13
1992-06-09,9M,PRIBOR,12.75
1992-06-10,1D,PRIBID,3.13
1992-06-10,1D,PRIBOR,4.88
1992-06-10,1M,PRIBID,7.69
1992-06-10,1M,PRIBOR,8.94
1992-06-10,1W,PRIBID,4.69
1992-06-10,1W,PRIBOR,6.19
1992-06-10,2W,PRIBID,5.44
1992-06-10,2W,PRIBOR,6.69
1992-06-10,3M,PRIBID,9.0
1992-06-10,3M,PRIBOR,10.44
1992-06-10,6M,PRIBID,10.13
1992-06-10,6M,PRIBOR,12.0
1992-06-10,9M,PRIBID,11.25
1992-06-10,9M,PRIBOR,13.25
1992-06-11,1D,PRIBID,3.69
1992-06-11,1D,PRIBOR,5.31
1992-06-11,1M,PRIBID,7.81
1992-06-11,1M,PRIBOR,9.13
1992-06-11,1W,PRIBID,5.44
1992-06-11,1W,PRIBOR,6.69
1992-06-11,2W,PRIBID,6.31
1992-06-11,2W,PRIBOR,7.63
1992-06-11,3M,PRIBID,9.13
1992-06-11,3M,PRIBOR,10.56
1992-06-11,6M,PRIBID,10.38
1992-06-11,6M,PRIBOR,11.88
1992-06-11,9M,PRIBID,11.44
1992-06-11,9M,PRIBOR,13.5
1992-06-12,1D,PRIBID,3.63
1992-06-12,1D,PRIBOR,5.31
1992-06-12,1M,PRIBID,8.0
1992-06-12,1M,PRIBOR,9.38
1992-06-12,1W,PRIBID,5.56
1992-06-12,1W,PRIBOR,7.13
1992-06-12,2W,PRIBID,6.38
1992-06-12,2W,PRIBOR,7.81
1992-06-12,3M,PRIBID,9.13
1992-06-12,3M,PRIBOR,10.56
1992-06-12,6M,PRIBID,10.31
1992-06-12,6M,PRIBOR,11.94
1992-06-12,9M,PRIBID,11.31
1992-06-12,9M,PRIBOR,13.38
1992-06-15,1D,PRIBID,4.0
1992-06-15,1D,PRIBOR,5.5
1992-06-15,1M,PRIBID,7.94
1992-06-15,1M,PRIBOR,9.31
1992-06-15,1W,PRIBID,5.63
1992-06-15,1W,PRIBOR,7.06
1992-06-15,2W,PRIBID,6.5
1992-06-15,2W,PRIBOR,7.88
1992-06-15,3M,PRIBID,9.13
1992-06-15,3M,PRIBOR,10.44
1992-06-15,6M,PRIBID,10.25
1992-06-15,6M,PRIBOR,11.81
1992-06-15,9M,PRIBID,11.44
1992-06-15,9M,PRIBOR,13.38
1992-06-16,1D,PRIBID,3.75
1992-06-16,1D,PRIBOR,5.5
1992-06-16,1M,PRIBID,7.94
1992-06-16,1M,PRIBOR,9.44
1992-06-16,1W,PRIBID,5.94
1992-06-16,1W,PRIBOR,7.31
1992-06-16,2W,PRIBID,6.75
1992-06-16,2W,PRIBOR,7.94
1992-06-16,3M,PRIBID,9.13
1992-06-16,3M,PRIBOR,10.75
1992-06-16,6M,PRIBID,10.31
1992-06-16,6M,PRIBOR,11.94
1992-06-16,9M,PRIBID,12.06
1992-06-16,9M,PRIBOR,14.5
1992-06-17,1D,PRIBID,4.0
1992-06-17,1D,PRIBOR,5.56
1992-06-17,1M,PRIBID,8.06
1992-06-17,1M,PRIBOR,9.56
1992-06-17,1W,PRIBID,6.63
1992-06-17,1W,PRIBOR,7.63
1992-06-17,2W,PRIBID,7.19
1992-06-17,2W,PRIBOR,8.44
1992-06-17,3M,PRIBID,9.31
1992-06-17,3M,PRIBOR,11.07
1992-06-17,6M,PRIBID,10.5
1992-06-17,6M,PRIBOR,12.25
1992-06-17,9M,PRIBID,12.06
1992-06-17,9M,PRIBOR,14.5
1992-06-18,1D,PRIBID,4.13
1992-06-18,1D,PRIBOR,5.75
1992-06-18,1M,PRIBID,8.0
1992-06-18,1M,PRIBOR,9.25
1992-06-18,1W,PRIBID,6.19
1992-06-18,1W,PRIBOR,7.44
1992-06-18,2W,PRIBID,7.25
1992-06-18,2W,PRIBOR,8.5
1992-06-18,3M,PRIBID,9.13
1992-06-18,3M,PRIBOR,10.75
1992-06-18,6M,PRIBID,10.06
1992-06-18,6M,PRIBOR,11.63
1992-06-18,9M,PRIBID,11.25
1992-06-18,9M,PRIBOR,12.5
1992-06-19,1D,PRIBID,4.38
1992-06-19,1D,PRIBOR,6.06
1992-06-19,1M,PRIBID,8.0
1992-06-19,1M,PRIBOR,9.5
1992-06-19,1W,PRIBID,6.13
1992-06-19,1W,PRIBOR,7.81
1992-06-19,2W,PRIBID,7.06
1992-06-19,2W,PRIBOR,8.63
1992-06-19,3M,PRIBID,9.38
1992-06-19,3M,PRIBOR,10.94
1992-06-19,6M,PRIBID,10.44
1992-06-19,6M,PRIBOR,11.94
1992-06-19,9M,PRIBID,12.13
1992-06-19,9M,PRIBOR,14.25
1992-06-22,1D,PRIBID,4.75
1992-06-22,1D,PRIBOR,6.25
1992-06-22,1M,PRIBID,8.19
1992-06-22,1M,PRIBOR,9.44
1992-06-22,1W,PRIBID,6.44
1992-06-22,1W,PRIBOR,7.63
1992-06-22,2W,PRIBID,7.38
1992-06-22,2W,PRIBOR,8.5
1992-06-22,3M,PRIBID,9.31
1992-06-22,3M,PRIBOR,10.63
1992-06-22,6M,PRIBID,10.31
1992-06-22,6M,PRIBOR,11.56
1992-06-22,9M,PRIBID,12.19
1992-06-22,9M,PRIBOR,14.5
1992-06-23,1D,PRIBID,5.19
1992-06-23,1D,PRIBOR,6.81
1992-06-23,1M,PRIBID,8.38
1992-06-23,1M,PRIBOR,9.69
1992-06-23,1W,PRIBID,6.75
1992-06-23,1W,PRIBOR,8.0
1992-06-23,2W,PRIBID,7.5
1992-06-23,2W,PRIBOR,8.75
1992-06-23,3M,PRIBID,9.13
1992-06-23,3M,PRIBOR,10.63
1992-06-23,6M,PRIBID,10.56
1992-06-23,6M,PRIBOR,11.81
1992-06-23,9M,PRIBID,12.31
1992-06-23,9M,PRIBOR,14.75
1992-06-24,1D,PRIBID,4.88
1992-06-24,1D,PRIBOR,6.69
1992-06-24,1M,PRIBID,8.06
1992-06-24,1M,PRIBOR,9.5
1992-06-24,1W,PRIBID,6.5
1992-06-24,1W,PRIBOR,7.94
1992-06-24,2W,PRIBID,7.25
1992-06-24,2W,PRIBOR,8.5
1992-06-24,3M,PRIBID,9.31
1992-06-24,3M,PRIBOR,10.88
1992-06-24,6M,PRIBID,10.44
1992-06-24,6M,PRIBOR,11.88
1992-06-24,9M,PRIBID,12.06
1992-06-24,9M,PRIBOR,14.0
1992-06-25,1D,PRIBID,4.94
1992-06-25,1D,PRIBOR,6.75
1992-06-25,1M,PRIBID,8.06
1992-06-25,1M,PRIBOR,9.5
1992-06-25,1W,PRIBID,6.75
1992-06-25,1W,PRIBOR,8.19
1992-06-25,2W,PRIBID,7.25
1992-06-25,2W,PRIBOR,8.56
1992-06-25,3M,PRIBID,9.19
1992-06-25,3M,PRIBOR,10.81
1992-06-25,6M,PRIBID,10.25
1992-06-25,6M,PRIBOR,11.63
1992-06-25,9M,PRIBID,12.13
